"ADOB_ID";"ADOB_LIIK";"ADS_OID";"TUNNUS";"ETAK_ID";"HOONE_OID";"AADRESS";"VIITEPUNKT_X";"VIITEPUNKT_Y";"OLEK";"KEHTIV_ALATES";"KEHTIV_KUNI"
111821;"AY";"AY00003718";"3718";;;"Harju maakond, Kuusalu vald, Kuusalu küla";581456,46;6592257,68;"K";30.1.2007;
111943;"AY";"AY00005064";"5064";;;"Harju maakond, Kuusalu vald, Mustametsa küla";589888,01;6594526,47;"K";30.1.2007;
111944;"AY";"AY00005108";"5108";;;"Harju maakond, Kuusalu vald, Muuksi küla";580511,94;6603955,75;"K";30.1.2007;
111959;"AY";"AY00007037";"7037";;;"Harju maakond, Jõelähtme vald, Rohusi küla";575537,89;6599971,35;"K";30.1.2007;
111751;"AY";"AY00002248";"2248";;;"Harju maakond, Jõelähtme vald, Jõesuu küla";565376,36;6596094,23;"K";30.1.2007;
111754;"AY";"AY00008839";"8839";;;"Harju maakond, Kuusalu vald, Vahastu küla";591162,95;6592606,61;"K";30.1.2007;
111976;"AY";"AY00003472";"3472";;;"Harju maakond, Jõelähtme vald, Kostivere alevik";562304,9;6588228,12;"K";30.1.2007;
111888;"AY";"AY00002234";"2234";;;"Harju maakond, Jõelähtme vald, Jõelähtme küla";562877,12;6592378,27;"K";30.1.2007;
111835;"AY";"AY00003691";"3691";;;"Harju maakond, Kuusalu vald, Kursi küla";585454,49;6589649,82;"K";30.1.2007;
111963;"AY";"AY00001256";"1256";;;"Harju maakond, Kuusalu vald, Andineeme küla";581485,32;6599812,85;"K";30.1.2007;
111964;"AY";"AY00004334";"4334";;;"Harju maakond, Kuusalu vald, Liiapeksi küla";593826,58;6591547,93;"K";30.1.2007;
111908;"AY";"AY00006378";"6378";;;"Harju maakond, Kuusalu vald, Pudisoo küla";588807,85;6599740,43;"K";30.1.2007;
111909;"AY";"AY00001363";"1363";;;"Harju maakond, Kuusalu vald, Aru küla";584742,11;6588302,39;"K";30.1.2007;
111910;"AY";"AY00007734";"7734";;;"Harju maakond, Kuusalu vald, Soorinna küla";584600,39;6596326,31;"K";30.1.2007;
111819;"AY";"AY00003630";"3630";;;"Harju maakond, Kuusalu vald, Kupu küla";583641,16;6592042,38;"K";30.1.2007;
111820;"AY";"AY00003714";"3714";;;"Harju maakond, Kuusalu vald, Kuusalu alevik";581392,03;6590609,76;"K";30.1.2007;
